"2020 Men"
"rank          firstname     lastname        country   skill           points"
"114 Thiago         Wild           BRA     50.75   507"
"115 Evgeny         Donskoy        RUS      50.5   505"
"116 Christopher    O'Connell      AUS     50.25   498"
"117 Go             Soeda          JPN       50    480"
"118 Leonardo       Mayer          ARG     49.75   464"
"119 Marc           Polmans        RSA      49.5   462"
"120 Jason          Jung           USA     49.25   462"
"121 Paolo          Lorenzi        ITA       49    447"
"122 Jozef          Kovalik        SVK     48.75   447"
"123 Kevin          Anderson       RSA      48.5   445"
"124 Ivo            Karlovic       CRO     48.25   444"
"125 Peter          Gojowczyk      GER       48    444"
"126 Bradley        Klahn          USA     47.75   436"
"127 Sumit          Nagal          IND      47.5   423"
"128 Juan Martin     Del Potro     ARG   47.25   415"
"129 Andy            Murray        GBR     47    412"
"130 Federico        Gaio          ITA   46.75   412"
"131 Mohamed         Safwat        EGY    46.5   407"
"132 Prajnesh        Gunneswaran   IND   46.25   405"
"133 Cedrik-Marcel   Stebe         GER     46    405"
"134 Facundo         Bagnis        ARG   45.75   404"
"135 Juan Pablo      Varillas      PER    45.5   403"
"136 Antoine         Hoang         FRA   45.25   402"
"137 Henri           Laaksonen     SUI     45    400"
"138 Ilya            Ivashka       BLR   44.75   396"
"139 Guido           Andreozzi     ARG    44.5   389"
"140 Zhizhen         Zhang         CHN   44.25   389"
"141 Blaz            Rola          SLO     44    387"
"142 Hyeon           Chung         KOR   43.75   383"
"143 Yannick         Hanfmann      GER    43.5   383"
"144 Jeff            Wolf          USA   43.25   383"
"145 Nikola          Milojevic     SRB     43    382"
"146 Alex            Bolt          AUS   42.75   380"
"147 Thomas          Fabbiano      ITA    42.5   379"
"148 Daniel          Galan         COL   42.25   379"
"149 Yannick         Maden         GER     42    370"
"150 Marcel          Granollers    ESP   41.75   367"
"151 Emilio          Gomez         ECU    41.5   365"
"152 Joao            Domingues     PRT   41.25   357"
"153 Lorenzo         Giustino      ITA     41    356"
"154 Kimmer          Coppejans     BEL   40.75   353"
"155 Tatsuma         Ito           JPN    40.5   342"
"156 Denis           Istomin       UZB   40.25   339"
"157 Danilo          Petrovic      SRB     40    337"
"158 Roberto         Marcora       ITA     40    331"
"159 Martin          Klizan        SVK     40    327"
"160 Alessandro      Giannessi     ITA     40    326"
"161 Arthur          Rinderknech   FRA     40    323"
"162 Ernests         Gulbis        LVA     40    321"
"163 Sebastian       Ofner         AUT     40    321"
"164 Maxime          Cressy        FRA     40    320"
"165 Steven          Diez          CAN     40    315"
"166 Jurij           Rodionov      AUT     40    314"
"167 Jay             Clarke        GBR     40    313"
"168 Mikael          Torpegaard    DEN     40    311"
"169 Sergiy          Stakhovsky    UKR     40    307"
"170 Robin           Haase         NLD     40    305"
"171 Filip        Horansky          SVK   40   303"
"172 Lukas        Lacko             SVK   40   297"
"173 Botic        Van De Zandschlup"
"NED      40   292"
"175 Alejandro    Tabilo            CAN   40   290"
"176 Carlos       Taberner          ESP   40   290"
"177 Dmitry       Popko             KAZ   40   290"
"178 Brayden      Schnur            CAN   40   286"
"179 Roman        Safiullin         RUS   40   286"
"180 Enzo         Couacaud          FRA   40   286"
"181 Lukas        Rosol             CZE   40   285"
"182 Ernesto      Escobedo          USA   40   284"
"183 Michael      Mmoh              USA   40   281"
"184 Thai         Kwiatkowski       USA   40   281"
"185 Viktor       Troicki           SRB   40   281"
"186 Joao         Menezes           BRA   40   279"
"187 Ramkumar     Ramanathan        IND   40   278"
"188 Marius       Copil             ROU   40   277"
"189 Mario        Viella Martinez   ESP   40   275"
"190 Rudolf       Molleker          _GE   40   273"
"191 Tallon       Griekspoor        NLD   40   271"
"192 Maxime       Janvier           FRA   40   270"
"193 Peter        Polansky          CAN   40   270"
"194 Frederico    Ferreira Silva    PRT   40   268"
"195 Quentin      Halys             FRA   40   264"
"196 Mitchell     Krueger           USA   40   264"
"197 Enrique      Lopez-Perez       ESP   40   263"
"198 Aleksandar   Vukic             AUS   40   260"
"199 Andrea       Collarini         ARG   40   259"
"200 Cem          Ilkel             TUR   40   257"
"201 Illya        Marchenko         UKR   40   255"
"202 Elias        Ymer              SWE   40   254"
"203 Bernard      Tomic             AUS   40   253"
"204 Guillermo    Garcia-Lopez      ESP   40   251"
"205 Andrew       Harris            AUS   40   251"
"206 Juan Pablo   Ficovich          ARG   40   250"
"207 Dudi         Sela              ISR   40   249"
"208 Zhe          Li                CHN   40   248"
"209 Elliot       Benchetrit        FRA   40   242"
"210 Renzo        Olivo             ARG   40   241"
"211 Constant     Lestienne         FRA   40   240"
"212 Liam         Broady            GBR   40   240"
"213 Bernabe      Zapata Miralles ESP     40   240"
"214 Nicolas      Mahut             FRA   40   239"
"215 Tommy         Robredo       ESP   40   239"
"216 Ruben         Bemelmans     BEL   40   235"
"217 Max           Purcell       AUS   40   233"
"218 Oscar         Otte          GER   40   231"
"219 Benjamin      Bonzi         FRA   40   231"
"220 Daniel        Altmaier      GER   40   230"
"221 Brandon       Nakashima     USA   40   229"
"222 Roberto       Cid           DOM   40   229"
"223 Matteo        Viola         ITA   40   223"
"224 Facundo       Mena          ARG   40   222"
"225 Sebastian     Korda         USA   40   220"
"226 Noah          Rubin         USA   40   219"
"227 Yosuke        Watanuki      JPN   40   219"
"228 Alexey        Vatutin       RUS   40   218"
"229 Hugo          Gaston        FRA   40   215"
"230 Zdenek        Kolar         CZE   40   215"
"231 Yan           Bai           CHN   40   213"
"232 Marco         Trungelliti   ARG   40   212"
"233 Nicola        Kuhn          GER   40   212"
"234 Tobias        Kamke         GER   40   211"
"235 Jason         Kubler        AUS   40   210"
"236 Hiroki        Moriya        JPN   40   210"
"237 Gian Marco    Moroni        ITA   40   210"
"238 Thanasi       Kokkinakis    AUS   40   209"
"239 Christopher   Eubanks       USA   40   209"
"240 Dustin        Brown         GER   40   209"
"241 Tung-Lin      Wu            TPE   40   209"
"242 Janko         Tipsarevic    SRB   40   208"
"243 Ulises        Blanch        USA   40   207"
"244 Hugo          Grenier       FRA   40   207"
"245 Francisco     Cerundolo     ARG   40   204"
"246 Ju Sung       Nam           KOR   40   203"
"247 Pedja         Krstin        SRB   40   203"
"248 Alexandre     Muller        FRA   40   202"
"249 Evgeny        Karlovskiy    RUS   40   202"
"250 Filippo       Baldi         ITA   40   199"
"251 Daniel        Masur         GER   40   199"
"252 Julian        Lenz          GER   40   198"
"253 Steve         Darcis        BEL   40   196"
"254 Aslan         Karatsev      RUS   40   194"
"255 Duckhee       Lee           KOR   40   193"
"256 Mathias       Bourgue       FRA   40   191"
"257 Tomas         Machac        CZE   40   189"
"258 Teimuraz        Gabashvili     RUS     40   188"
"259 Mischa          Zverev         GER     40   187"
"260 Stefano         Napolitano     ITA     40   182"
"261 Akira           Santillan      AUS     40   182"
"262 Malek           Jaziri         TUN     40   181"
"263 Bjorn           Fratangelo     USA     40   179"
"264 Mats            Moraing        GER     40   179"
"265 Adrian          Menendez-Maceiras"
"ESP      40   179"
"266 Tristan         Lamasine       FRA     40   178"
"267 Darian          King           BRB     40   176"
"268 Geoffrey        Blancaneaux    FRA     40   176"
"269 Matthias        Bachinger      GER     40   175"
"270 Viktor          Galovic        ITA     40   175"
"271 Guilherme       Clezar         BRA     40   173"
"272 Mackenzie       McDonald       USA     40   172"
"273 Shuichi         Sekiguchi      JPN     40   171"
"274 James           Ward           GBR     40   170"
"275 Pavel           Kotov          RUS     40   166"
"276 Roberto         Ortega-Olmedo ESP      40   166"
"277 Jc              Aragone        USA     40   164"
